Term,Definition,Section,
cumulative distribution function of the standard normal,Cumulative density function for the normal distribution with mean 0 and standard deviation 1,9.2,
Buhlmann credibility,"A credibility method that uses the amount of experience, expected value of the process variance, and variance of the hypothetical means to determine the credibility weight",9.3,
collective mean,The mean estimate of a risk when no loss information about the risk is known,9.3,
Law of total expectation,The expected value of the conditional expected value of x given y is the same as the expected value of x,9.3,
risk parameter,Parameter in a distribution whose value reflects the risk categorization,9.3,
expected value of the process variance,Average of the natural variability of observations from within each risk,9.3,
variance of the hypothetical means,"Variance of the means across different classes, used to determine how similar or different the classes are from one another",9.3,
Buhlmann-Straub credibility,An extension of the buhlmann credibility model that allows for varying exposure by year,9.4,
Bayes Theorem,A probability law that expresses conditional probability of the event a given the event b in terms of the conditional probability of the event b given the event a and the unconditional probability of a,9.5,
Bayesian inference,A branch of statistics that leverages bayes theorem to update the distribution as more experience becomes available,9.5,
Gamma-Poisson model,A statistical model that assumes the frequency of claims is poisson whose mean has a prior distribution that is a gamma distribution,9.5,
exact credibility,A situation where the bayesian credibility estimate matches that of the buhlmann credibility estimate,9.5,
beta-binomial model,A statistical model for modeling the probability of an event using the binomial distribution with a probability that has a prior distribution from a beta distribution,9.5,
nonparametric estimation,"Statistical method that allows the functional form of a fit from data to have no assumed prior distribution, constraints, or parameters",9.5,
empirical Bayes methods,"Credibility methods that estimate the credibility weight without using any assumptions about prior distributions or likelihoods, instead relying only on empirical data",9.5,
semiparametric estimation,Credibility method that assumes a distribution for the loss per exposure random variable and otherwise uses empirical data,9.5,
portfolios,A collection of contracts,10.1,
insurance portfolios,"A collection, or aggregation, of insurance contracts",10.1,
reinsurers,A company that sells reinsurance,10.1,
heavy tailed,A rv is said to be heavy tailed if high probabilities are assigned to large values,10.2,
survival function,One minus the distribution function. it gives the probability that a rv exceeds a specific value.,10.2,
coherent risk measure,"A risk measure that is is subadditive, monontonic, has positive homogeneity, and is translation invariant.",10.3,
mean excess loss function,"The expected value of a loss in excess of a quantity, given that the loss exceeds the quantity",10.3,
risk measure,"A measure that summarizes the riskiness, or uncertainty, of a distribution",10.3,
value-at-risk,A risk measure based on a quantile function,10.3,
ceding company,A company that purchases reinsurance (also known as the reinsured),10.4,
excess of loss,"Under an excess of loss arrangement, the insurer sets a retention level for each claim and pays claim amounts less than the level with the reinsurer paying the excess.",10.4,
primary insurance,Insurance purchased by a non-insurer,10.4,
proportional reinsurance,An agreement between a reinsurer and a ceding company (also known as the reinsured) in which the reinsurer assumes a given percent of losses and premium,10.4,
quota share,"A proportional treaty where the reinsurer receives a flat percent of the premium for the book of business reinsured and pays a percentage of losses, including allocated loss adjustment expenses. the reinsurer may also pays the ceding company a ceding commission which is designed to reflect the differences in underwriting expenses incurred.",10.4,
reinsured,A company that purchases reinsurance (also known as the ceding company),10.4,
retained line,The amount of exposure that the the reinsured retains on a given line in a surplus share reinsurance agreement.,10.4,
retention function,A function that maps the insurer portfolio loss into the amount of loss retained by the insurer.,10.4,
stop-loss,"Under a stop-loss arrangement, the insurer sets a retention level and pays in full total claims less than the level with the reinsurer paying the excess.",10.4,
surplus share,"A proportional reinsurance treaty that is common in commercial property insurance. a surplus share treaty allows the reinsured to limit its exposure on any one risk to a given amount (the retained line). the reinsurer assumes a part of the risk in proportion to the amount that the insured value exceeds the retained line, up to a given limit (expressed as a multiple of the retained line, or number of lines).",10.4,
treaty,A reinsurance contract that applies to a designated book of business or exposures.,10.4,
Bonus-malus system,A type of rating mechanism where insured premiums are adjusted based on their individual loss experience history,12.1,
No Claim Discount (NCD) system,A type of experience rating where insureds obtain discounts on future years' premiums based on claims-free experience,12.1,
hunger for bonus,Phenomenon where insureds under an experience rating system are dissuaded from filing minor claims in order to keep their no-claims discount,12.1,
takaful,Co-operative system of reimbursement or repayment in case of loss as an insurance alternative,12.2,
Markov chain,A stochastic model (time dependent) where the probability of each event depends only on the current state and not the historical path,12.3,
transition matrix,Matrix that represents all probabilities for transition from one state to another (could be same state) for a markov chain,12.3,
stationary distribution,Probability distribution remains unchanged in the markov chain as time progresses,12.4,
ergodic,"Irreducible markov chain where it is eventually possible to move from any state to any other state, with positive probability",12.4,
irreversible,A markov chain where there does not exist a probability distribution that allows for the chain to be walked backwards in time,12.4,
eigenvector,A non-zero vector that changes by only a scalar factor when that linear transformation is applied,12.4,
n-step transition probability,"Probability of ending in a state j after n periods, starting in state i, where i and j can be the same state",12.4,
convergence rate,"After n transitions, the sum of variation between the probability in each state vs. the stationary probability",12.4,
Poisson regression model,Type of regression model used for fitting data with an integral (count) response variable with mean equal to the variance,12.5,
negative binomial regression model,Type of regression model used for fitting data with an integral (count) response variable and can account for variance greater than the mean,12.5,
overdispersion,Phenomenon where the variance of data is larger than what is modeled,12.5,
cross-classified rating classes,Table that combines the effects of multiple rating classifications,12.5,
structured data,"Data that can be organized into a repository format, typically a database",13.1,
unstructured data,"Data that is not in a predefined format, most notably text, audio visual",13.1,
qualitative data,Data which is non numerical in nature,13.1,
quantitative data,Data which is numerical in nature,13.1,
ordinal data,Data field with a natural ordering,13.1,
interval data,Continuous data which is broken into interval bands with a natural ordering,13.1,
key-value databases,Data storage method that stores amd finds records using a unique key hash,13.1,
column-oriented databases,Data storage method that stores records by column instead of by row,13.1,
document databases,"Data storage method that uses the document metadata for search and retrieval, also known as semi-structured data",13.1,
data decay,Corruption of data due to hardware failure in the storage device,13.1,
reverification,Manual process of checking the integrity of data,13.1,
data element analysis,Analysis of the format and definition of each field,13.1,
structural analysis,Statistical analysis of the structured data present to detect irregularities,13.1,
robust,Statistics which are more unaffected by outliers or small departures from model assumptions,13.2,
exploratory data analysis,"Approach to analyzing data sets to summarize their main characteristics, using visual methods, descriptive statistics, clustering, dimension reduction",13.2,
confirmatory data analysis,"Process used to challenge assumptions about the data through hypothesis tests, significance testing, model estimation, prediction, confidence intervals, and inference",13.2,
supervised learning methods,Model that predicts a response target variable using explanatory predictors as input,13.2,
unsupervised learning methods,Models that work with explanatory variables only to describe patterns or groupings,13.2,
classification methods,Supervised learning method where the response is a categorical variable,13.2,
regression methods,Supervised learning method where the response is a continuous variable,13.2,
model flexibility,"A measure of model complexity, typically based on the number of estimated parameters",13.2,
explanatory modeling,Process where the modeling goal is to identify variables with meaningful and statistically significant relationships and test hypotheses,13.2,
predictive modeling,Process where the modeling goal is to predict new observations,13.2,
data modeling,Assumes data generated comes from a stochastic data model,13.2,
algorithmic modeling,Assumes data generated comes from unknown algorithmic models,13.2,
predictive accuracy,Quantitative measure of how well the explanatory variables predict the response outcome,13.2,
scripts,A program or sequence of instructions that is executed by another program,13.2,
reproducible analysis,"Modeling practice where data, code, analyses are published together in a manner so that others may verify the findings",13.2,
literate programming,Coding practice where documentation and code are written together,13.2,
data ownership,"Governance process that details legal ownership of enterprise-wide data and outlines who has ability to create, edit, modify, share and restrict access to the data",13.2,
machine learning,"Study of algorithms and statistical models that perform a specific task without using explicit instructions, relying on patterns and inference",13.3,
pattern recognition,Automated recognition of patterns and regularities in data,13.3,
data mining,"Process of collecting, cleaning, processing, analyzing, and discovering patterns and useful insights from large data sets",13.3,
principal component analysis,Dimension reduction technique that uses orthogonal transformations to convert a set of possibly correlated variables into a set of linearly uncorrelated variables,13.3,
cluster analysis,Unsupervised learning method that aims to splot data into homogenous groups using a similarity measure,13.3,
k-means algorithm,Type of clustering that aims to partition data into k mutually exclusive clusters by assigning observations to the cluster with the nearest centroid,13.3,
linear regression models,Supervised model that uses a linear function to approximate the relationship between the target and explanatory variables,13.3,
generalized linear model,Supervised model that generalizes linear regression by allowing the linear component to be related to the response variable via a link function and by allowing the variance of each measurement to be a function of its predicted value,13.3,
systematic component,The linear combination of explanatory variables component in a glm,13.3,
link function,Function that relates between the linear predictor component to the mean of the target variable,13.3,
decision trees,Modeling technique that uses a tree-like model of decisions to divide the sample space into non-overlapping regions to make predictions,13.3,
categorical variable,A variable whose values are qualitative groups and can have no natural ordering (nominal) or an ordering (ordinal),14.1,
variables,"A variable is any characteristics, number, or quantity that can be measured or counted.",14.1,
interval variable,An ordinal variable with the additional property that the magnitudes of the differences between two values are meaningful,14.1,
spatial data,Data and information having an implicit or explicit association with a location relative to the earth,14.1,
high dimensional,"Data set is high dimensional when it has many variables. In many applications, the number of variables may be larger than the sample size.",14.1,
qualitative,"This is a type of variable in which the measurement denotes membership in a set of groups, or categories",14.1,
nominal variable,This is a type of qualitative/ categorical variable which has two or more categories without having any kind of natural order.,14.1,
ordinal variable,This is a type of qualitative/ categorical variable which has two or more ordered categories.,14.1,-
binary variable,Is a special type of categorical variable where there are only two categories.,14.1,
quantitative variable,A quantitative variable is a type of variable in which numerical level is a realization from some scale so that the distance between any two levels of the scale takes on meaning.,14.1,
continuous variable,A continuous variable is a quantitative variable that can take on any value within a finite interval.,14.1,
policyholder,Person in actual possession of insurance policy; policy owner.,14.1,
discrete variable,A discrete variable is quantitative variable that takes on only a finite number of values in any finite interval.,14.1,
count variable,A count variable is a discrete variable with values on nonnegative integers.,14.1,
Circular data,"In a circular data, all values around the circle are equally likely. Example, imagine an analog picture of a clock.",14.1,
insurers,An insurance company authorized to write insurance under the laws of any state.,14.1,
multivariate,Multivariate variable involves taking many measurements on a single entity.,14.1,
workers' compensation,"Insurance that covers an employer's liability for injuries, disability or death to persons in their employment, without regard to fault, as prescribed by state or federal workers' compensation laws and other statutes.",14.1,
univariate,"Univariate analysis is the simplest form of analyzing data. “Uni” means “one”, so in other words your data has only one variable.",14.1,
missing data,Missing data occur when no data value is stored for a variable in an observation. Missing data can occur because of nonresponse: no information is provided for one or more items or for a whole unit or subject.,14.1,
censored,"Censored data have unknown values beyond a bound on either end of the number line or both. Here, the data is observed but the values (measurements) are not known completely.",14.1,
truncated,Truncation occurs when values beyond a boundary are either excluded when gathered or excluded when analyzed. An object can be detected only if its value is greater than some number.,14.1,
stochastic process,"Stochastic process is defined as a collection of random variables that is indexed by some mathematical set, meaning that each random variable of the stochastic process is uniquely associated with an element in the set.",14.1,
deductibles,"A deductible is a parameter specified in the contract. Typically, losses below the deductible are paid by the policyholder whereas losses in excess of the deductible are the insurer's responsibility (subject to policy limits and coninsurance).",14.1,
rank based measures,Statistical dependence between the rankings of two variables,14.2,
odds ratio,"A statistic quantifying the strength of the association between two events, a and b, which is defined as the ratio of the odds of a in the presence of b and the odds of a in the absence of b",14.2,-
likelihood ratio test,A statistical test of the goodness-of-fit between two models,14.2,
Pearson correlation,A measure of the linear correlation between two variables,14.2,
product-moment (Pearson) correlation,"Pearson correlation, a measure of the linear correlation between two variables",14.2,
Kendall's tau,A statistic used to measure the ordinal association between two measured quantities,14.2,
concordant,"An observation pair (x,y) is said to be concordant if the observation with a larger value of x has also the larger value of y",14.2,-
discordant,"An observation pair (x,y) is said to be discordant if the observation with a larger value of x has the smaller value of y",14.2,
Pearson chi-square statistic,A statistical test applied to sets of categorical data to evaluate how likely it is that any observed difference between the sets arose by chance,14.2,
tetrachoric correlation,"A technique for estimating the correlation between two theorised normally distributed continuous latent variables, from two observed binary variables",14.2,
polychoric correlation,"A technique for estimating the correlation between two theorised normally distributed continuous latent variables, from two observed ordinal variables",14.2,
polyserial correlation,"The correlation between two continuous variables with a bivariate normal distribution, where one variable is observed directly, and the other is unobserved",14.2,
biserial correlation,A correlation coefficient used when one variable is dichotomous,14.2,
normal score,Transformed data which closely resemble a standard normal distribution,14.2,
copula,A multivariate distribution function with uniform marginals,14.3,
Spearman's rho,A nonparametric measure of rank correlation,14.3,
marginal distributions,The probability distribution of the variables contained in the subset of a collection of random variables,14.4,
fat-tailed,"A fat-tailed distribution is a probability distribution that exhibits a large skewness or kurtosis, relative to that of either a normal distribution or an exponential distribution",14.4,
probability integral transformation,Any continuous variable can be mapped to a uniform random variable via its distribution function,14.4,
Elliptical copulas,The copulas of elliptical distributions,14.5,
correlation matrix,A table showing correlation coefficients between variables,14.5,
elliptical distributions,Any member of a broad family of probability distributions that generalize the multivariate normal distribution,14.5,
tail dependency,A measure of their comovements in the tails of the distributions,14.5,
Frechet-Hoeffding bounds,Bounds of multivariate distribution functions,14.5,
Blomqvist's beta,A dependence measure based on the center of the distribution,14.7,
reinsurance,Insurance purchased by an insurer,"1.1, 10.4",
deductible,"A deductible is a parameter specified in the contract. typically, losses below the deductible are paid by the policyholder whereas losses in excess of the deductible are the insurer's responsibility (subject to policy limits and coninsurance).","1.2, 5.3",
coinsurance,"Coinsurance is an arrangement whereby the insured and insurer share the covered losses. typically, a coinsurance parameter specified means that both parties receive a proportional share, e.g., 50%, of the loss.","1.2, 5.5",
pure premium,"Pure premium is the total severity divided by the number of claims. it does not include insurance company expenses, premium taxes, contingencies, nor an allowance for profits. also called loss costs. some definitions include allocated loss adjustment expenses (alae).","1.3, 7.1, 7.2",
standard deviation,The square-root of variance,"2.1, 3.1",
variance,"Second central moment of a random variable x, measuring the expected squared deviation of between the variable and its mean","2.1, 3.1",
Aggregate claims,The sum of all claims observed in a period of time,"2.1, 5.1, 14.1",
median,"50th percentile of a definition, or middle value where half of the distribution lies below","3.1, 4.1",
Lorenz curve,A graph of the proportion of a population on the horizontal axis and a distribution function of interest on the vertical axis.,"4.1, 7.6",
law of total variance,"A decomposition of the variance of a random variable into conditional components. specifically, for random variables x and y on the same probability space, var(x) = e[var(y|x)] + var[e(x|y)].","5.3, 9.4",
tail value-at-risk,The expected value of a risk given that the risk exceeds a value-at-risk,"6.2, 10.3",
coefficient of variation,"Standard deviation divided by the mean of a distribution, to measure variability in terms of units of the mean","6.3, 9.2",
loss ratio,The sum of losses divided by the premium.,"7.1, 7.2",
homogeneous risks,"Risks that have the same distribution, that is, the distributions are identical.","7.1, 7.2",
heterogeneous,"Heterogeneous risks have different distributions. often, we can attribute differences to varying exposures or risk factors.","7.1, 7.4",
exposure,"A type of rating variable that is so important that premiums and losses are often quoted on a ""per exposure"" basis. that is, premiums and losses are commonly standardized by exposure variables.","7.2, 7.4",
loss,"The amount of damages sustained by an individual or corporation, typically as the result of an insurable event.","7.5, 14.1",
iid,Independent and identically distributed,,
pdf,Probability density function,,
AIC,Akaike's information criterion,,
BIC,Bayesian information criterion,,
pmf,Probability mass function,,
MCMC,Markov Chain Monte Carlo,,
cdf,Cumulative distribution function,,
df,Degrees of freedom,,
glm,Generalized linear model,,
mle,Maximum likelihood estimate,,
ols,Ordinary least squares,,
pf,Probability function,,
rv,Random variable,,
reporting delay,The time that elapses between the occurrence of the insured event and the reporting of this event to the insurance company.,11.1,
settlement delay,The time between reporting and settlement of a claim.,11.1,
RBNS,"Reported, But is Not fully Settled",11.1,
IBNR," Incurred in the past But is Not yet Reported. For such a claim the insured event took place, but the insurance company is not yet aware of the associated claim.",11.1,
granular,,11.1,
case estimates,The claims handlers expert estimate of the outstanding amount on a claim.,11.1,
.csv,Comma separated value file,11.2,
.txt,Text file,11.2,
run-off triangle,Triangular display of loss reserve data. Accident or occurrence periods on one axis (often vertical) with development periods on the other (often horizontal). Also known as a development triangle.,11.2,
development triangle,Triangular display of loss reserve data. Accident or occurrence periods on one axis (often vertical) with development periods on the other (often horizontal). Also known as a run-off triangle.,11.2,
MSEP,Mean Squared Error of Prediction,,
chain-ladder method,An algorithm for predicting incomplete losses to their ultimate cumulative value. The name refers to the chaining of a sequence of (year-to-year development) factors into a ladder of factors.,11.3,
WLS,weighted least squares,11.3,
glm,Generalized linear model,,
